theta,x_p_A,y_p_A,d_A,k,xi_p,eta_p,delta,tau_s,tau_ns,tau_ps,tau_log10_s,tau_ratio,phi,phi_inv2
-0.32999999999999996,0.853957656471613,-0.3240430283948683,0.9133715362861966,-0.3794602998628188,8.53957656471613,-3.240430283948683,9.133715362861965,4.096709709177464e-05,40967.09709177464,40967097.09177464,-4.387564808848654,146.7484787913463,1.618033988749895,0.38196601125010515
-0.32899999999999996,0.8536340865183577,-0.32309682418751295,0.912733647602677,-0.37849569187812027,8.536340865183577,-3.2309682418751295,9.12733647602677,3.9763496009588544e-05,39763.49600958855,39763496.00958855,-4.400515439392264,142.43705229493753,1.618033988749895,0.38196601125010515
-0.32799999999999996,0.853311462930937,-0.32215029688336033,0.9120971804316539,-0.37752955500778695,8.533114629309368,-3.221502968833603,9.120971804316538,3.859858508236876e-05,38598.585082368765,38598585.08236876,-4.413428615073899,138.26421802957674,1.618033988749895,0.38196601125010515
-0.32699999999999996,0.8529897860319744,-0.32120344742893764,0.9114621383881547,-0.3765618916999521,8.529897860319743,-3.2120344742893763,9.114621383881547,3.7471034180991134e-05,37471.03418099113,37471034.180991136,-4.426304320439704,134.22521133192618,1.618033988749895,0.38196601125010515
-0.32599999999999996,0.8526690561431469,-0.3202562767710943,0.9108285250887397,-0.3755927044188752,8.526690561431469,-3.2025627677109427,9.108285250887397,3.637956149412781e-05,36379.56149412781,36379561.49412781,-4.439142540067157,130.3154406181097,1.618033988749895,0.38196601125010515
-0.32499999999999996,0.8523492735851843,-0.3193087858570009,0.9101963441514492,-0.3746219956449449,8.523492735851843,-3.1930878585700087,9.101963441514492,3.532293168876909e-05,35322.93168876909,35322931.68876909,-4.4519432585651035,126.53048079450724,1.618033988749895,0.38196601125010515
-0.32399999999999995,0.8520304386778692,-0.3183609756341482,0.9095655991957529,-0.37364976787468074,8.520304386778692,-3.183609756341482,9.095655991957528,3.4299954143706994e-05,34299.95414370699,34299954.14370699,-4.464706460573799,122.8660669299059,1.618033988749895,0.38196601125010515
-0.32299999999999995,0.8517125517400363,-0.3174128470503465,0.9089362938424952,-0.37267602362073526,8.517125517400363,-3.1741284705034647,9.089362938424951,3.330948125297441e-05,33309.48125297441,33309481.25297441,-4.477432130764992,119.31808817823942,1.618033988749895,0.38196601125010515
-0.32199999999999995,0.8513956130895728,-0.3164644010537241,0.9083084317138435,-0.37170076541189534,8.513956130895727,-3.164644010537241,9.083084317138434,3.2350406796374554e-05,32350.406796374555,32350406.796374552,-4.49012025384196,115.88258194165219,1.618033988749895,0.38196601125010515
-0.32099999999999995,0.851079623043417,-0.3155156385927271,0.9076820164332337,-0.3707239957930838,8.510796230434169,-3.1551563859272704,9.076820164332336,3.142166437434136e-05,31421.66437434136,31421664.374341357,-4.502770814539579,112.55572826400349,1.618033988749895,0.38196601125010515
-0.31999999999999995,0.8507645819175592,-0.3145665606161177,0.907057051625317,-0.3697457173253597,8.507645819175591,-3.145665606161177,9.07057051625317,3.052222590450135e-05,30522.225904501345,30522225.904501345,-4.5153837976243665,109.3338444453929,1.618033988749895,0.38196601125010515
-0.31899999999999995,0.8504504900270403,-0.31361716807297396,0.9064335409159047,-0.3687659325859197,8.504504900270403,-3.1361716807297393,9.064335409159046,2.9651100177406895e-05,29651.100177406894,29651100.177406896,-4.527959187894571,106.21337986864398,1.618033988749895,0.38196601125010515
-0.31799999999999995,0.8501373476859523,-0.3126674619126883,0.905811487931914,-0.3677846441680977,8.501373476859522,-3.1266746191268826,9.05811487931914,2.8807331469033364e-05,28807.331469033365,28807331.469033364,-4.540496970180187,103.19091102912213,1.618033988749895,0.38196601125010515
-0.31699999999999995,0.8498251552074374,-0.31171744308496674,0.9051908963013131,-0.3668018546813648,8.498251552074374,-3.1171744308496674,9.05190896301313,2.7989998207714016e-05,27989.998207714016,27989998.207714017,-4.552997129343053,100.26313675955433,1.618033988749895,0.38196601125010515
-0.31599999999999995,0.8495139129036882,-0.3107671125398281,0.9045717696530648,-0.36581756675132954,8.49513912903688,-3.1076711253982805,9.045717696530648,2.7198211693305653e-05,27198.211693305653,27198211.693305653,-4.565459650276886,97.42687364194478,1.618033988749895,0.38196601125010515
-0.31499999999999995,0.8492036210859468,-0.3098164712276028,0.9039541116170712,-0.3648317830197366,8.492036210859467,-3.098164712276028,9.039541116170712,2.6431114866453465e-05,26431.114866453463,26431114.866453465,-4.577884517907363,94.67905159895142,1.618033988749895,0.38196601125010515
-0.31399999999999995,0.8488942800645051,-0.3088655200989321,0.9033379258241172,-0.3638445061444663,8.48894280064505,-3.088655200989321,9.03337925824117,2.5687881125926196e-05,25687.881125926197,25687881.125926197,-4.5902717171921665,92.01670965745522,1.618033988749895,0.38196601125010515
-0.31299999999999994,0.8485858901487041,-0.307914260104767,0.9027232159058138,-0.3628557387995326,8.48585890148704,-3.07914260104767,9.027232159058137,2.4967713192069146e-05,24967.713192069146,24967713.192069147,-4.602621233121046,89.4369918773285,1.618033988749895,0.38196601125010515
